%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
          26.          370.       0.03135        0.0000        0.0000 
          27.          370.       0.03033        0.0000        0.0000 
          28.          370.       0.02938        0.0000        0.0000 
          29.          370.       0.02848        0.0000        0.0000 
          30.          370.       0.02764        0.0000        0.0000 
          31.          370.       0.02685        0.0000        0.0000 
          32.          370.       0.02610        0.0000        0.0000 
          33.          370.       0.02539        0.0000        0.0000 
          34.          370.       0.02472        0.0000        0.0000 
          35.          370.       0.02409        0.0000        0.0000 
          36.          370.       0.02348        0.0000        0.0000 
          37.          370.       0.02291        0.0000        0.0000 
          38.          370.       0.02236        0.0000        0.0000 
          39.          370.       0.02184        0.0000        0.0000 
          40.          370.       0.02134        0.0000        0.0000 
          41.          370.       0.02087        0.0000        0.0000 
          42.          370.       0.02041        0.0000        0.0000 
          43.          370.       0.01998        0.0000        0.0000 
          44.          370.       0.01956        0.0000        0.0000 
          45.          370.       0.01916        0.0000        0.0000 
          46.          370.       0.01878        0.0000        0.0000 
          47.          370.       0.01841        0.0000        0.0000 
          48.          370.       0.01805        0.0000        0.0000 
          49.          370.       0.01771        0.0000        0.0000 
          50.          370.       0.01739        0.0000        0.0000 
           0.          380.       0.28347        0.0000        0.0000 
           1.          380.       0.23190        0.0000        0.0000 
           2.          380.       0.18825        0.0000        0.0000 
           3.          380.       0.15502        0.0000        0.0000 
           4.          380.       0.13063        0.0000        0.0000 
